IP: 117.197.157.185 TIME: Nov 30 0:59:33 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:33 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:33 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:33 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:33 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:34 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:34 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:34 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=forum-forumajax&mod=forum USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:34 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:57 2013 REFERRER: http://demo.schoolgennie.com/?page=forum-forum& SEARCHSTRING: page=dashboard-faculty& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:57 2013 REFERRER: http://demo.schoolgennie.com/?page=dashboard-faculty& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:57 2013 REFERRER: http://demo.schoolgennie.com/?page=dashboard-faculty& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:57 2013 REFERRER: http://demo.schoolgennie.com/?page=dashboard-faculty& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 0:59:57 2013 REFERRER: http://demo.schoolgennie.com/?page=dashboard-faculty& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:02 2013 REFERRER: http://demo.schoolgennie.com/?page=dashboard-faculty& SEARCHSTRING: page=exams-createclasstest& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:02 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:02 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:02 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:02 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:02 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:05 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=exams-createacademictest& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:06 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:07 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:08 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:08 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:08 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:09 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:09 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:09 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:10 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:10 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:11 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:11 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:11 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:11 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:00:11 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:01:40 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=exams-createclasstest& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:01:41 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:01:41 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:01:41 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:01:41 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:01:41 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createclasstest& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:45:24 2013 REFERRER: http://demo.schoolgennie.com/?page=exams-createacademictest& SEARCHSTRING: page=exams-createclasstest& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:45:33 2013 REFERRER: http://demo.schoolgennie.com/?page=login-signin& SEARCHSTRING: page=dashboard-faculty& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:45:33 2013 REFERRER: http://demo.schoolgennie.com/?page=dashboard-faculty& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
IP: 117.197.157.185 TIME: Nov 30 1:45:33 2013 REFERRER: http://demo.schoolgennie.com/?page=dashboard-faculty& SEARCHSTRING: page=sgapp2/.errordocs/404 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0LOGINID:faculty10
