IP: 115.118.145.27 TIME: Dec 9 0:29:08 2013 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:29:11 2013 REFERRER: http://schoolgennie.com/sgapp2/control/ SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:29:12 2013 REFERRER: http://schoolgennie.com/sgapp2/control/ SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:29:15 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php SEARCHSTRING: Page=user&action=list&section=list& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:29:30 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php?Page=user&action=list&section=list& SEARCHSTRING: Page=user&action=insert&section=insert& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:37:36 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php?Page=user&action=insert&section=insert& SEARCHSTRING: Page=user&action=insert&section=list& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:37:36 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php?Page=user&action=insert&section=insert& SEARCHSTRING: Page=udetail&action=list&section=list&id=27 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:38:28 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php?Page=udetail&action=list&section=list&id=27 SEARCHSTRING: Page=udetail&action=insert&section=list&id=27 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:38:29 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php?Page=udetail&action=list&section=list&id=27 SEARCHSTRING: Page=udetail&action=list&section=list&id=27 USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:38:42 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php?Page=udetail&action=list&section=list&id=27 SEARCHSTRING: Page=user&action=list&section=list& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
IP: 115.118.145.27 TIME: Dec 9 0:38:42 2013 REFERRER: http://schoolgennie.com/sgapp2/control/control.php?Page=udetail&action=list&section=list&id=27 SEARCHSTRING: Page=user&action=list&section=list& USERAGENT: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36LOGINID:
